timestamp,action,value,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32
393,0,0.0,0.5095000267028809,0.492000013589859,0.5327473282814026,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,1,0.0,0.5095000267028809,0.492000013589859,0.5327473282814026,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,3,0.0,0.5095000267028809,0.49149999022483826,0.5327473282814026,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,2,0.0,0.5090000033378601,0.49149999022483826,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,0,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,6,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,5,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,8,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.5230696201324463,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,10,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,0,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,8,0.0,0.5090000033378601,0.492000013589859,0.5337473154067993,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,1,0.0,0.5090000033378601,0.492000013589859,0.5327473282814026,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,6,0.0,0.5090000033378601,0.49149999022483826,0.5327473282814026,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,3,0.0,0.5090000033378601,0.49149999022483826,0.5327473282814026,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,6,0.0,0.5084999799728394,0.49149999022483826,0.5317473411560059,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,9,0.0,0.5084999799728394,0.49149999022483826,0.5317473411560059,0.524069607257843,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,4,0.0,0.5084999799728394,0.49149999022483826,0.5317473411560059,0.5250695943832397,1.0,0.7400000095367432,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.699999988079071,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
